y_true,y_pred_proba
0.0,0.50552875
0.0,0.4567241
0.0,0.33417442
1.0,0.4473059
0.0,0.45223036
0.0,0.24203601
0.0,0.4082781
0.0,0.33176818
1.0,0.5451846
1.0,0.44188887
1.0,0.46410012
1.0,0.5620555
0.0,0.4989109
1.0,0.56156266
0.0,0.5097313
0.0,0.54617995
1.0,0.44565734
0.0,0.39292616
1.0,0.5208074
0.0,0.35853472
1.0,0.48994043
0.0,0.50842786
0.0,0.33493578
0.0,0.43377966
1.0,0.41153267
1.0,0.54816324
0.0,0.58650166
1.0,0.5676635
1.0,0.51824236
1.0,0.5457553
1.0,0.57276374
0.0,0.19763161
0.0,0.50495654
1.0,0.47995338
1.0,0.5602328
1.0,0.47456864
0.0,0.13031481
1.0,0.5500319
1.0,0.55076283
0.0,0.26069564
1.0,0.39998382
1.0,0.39690483
1.0,0.45943844
1.0,0.5442016
0.0,0.24612409
0.0,0.5177254
1.0,0.50564206
1.0,0.52720624
0.0,0.37981838
0.0,0.57922745
1.0,0.54244363
0.0,0.36062074
1.0,0.5294774
1.0,0.47316277
1.0,0.56860286
0.0,0.5531917
0.0,0.33131883
0.0,0.5440609
0.0,0.50479466
1.0,0.52087444
1.0,0.53862673
1.0,0.36840892
1.0,0.5523214
0.0,0.18253268
0.0,0.4782617
0.0,0.37647924
1.0,0.574273
0.0,0.4766924
0.0,0.25665137
0.0,0.4725831
1.0,0.3204154
1.0,0.29154578
1.0,0.57596004
0.0,0.521018
0.0,0.509058
0.0,0.4992066
0.0,0.41370878
1.0,0.5275517
1.0,0.55226016
1.0,0.5397731
1.0,0.57535833
0.0,0.30187348
0.0,0.5892383
1.0,0.52453184
1.0,0.54547554
1.0,0.45671248
1.0,0.5393018
1.0,0.5789683
1.0,0.4384468
0.0,0.46284273
1.0,0.56475157
1.0,0.56074095
1.0,0.5505364
0.0,0.53050804
1.0,0.5536184
1.0,0.5787775
1.0,0.26319054
0.0,0.51346874
0.0,0.49845004
1.0,0.5482985
0.0,0.5216617
1.0,0.54976326
0.0,0.54319966
1.0,0.43639916
1.0,0.6022243
1.0,0.49239272
1.0,0.5261683
0.0,0.15435709
1.0,0.38089266
0.0,0.4173102
0.0,0.59321517
0.0,0.18074794
0.0,0.28128034
0.0,0.36779597
1.0,0.5524343
0.0,0.40494502
0.0,0.45411223
1.0,0.5851137
0.0,0.46465263
0.0,0.44001907
1.0,0.39200312
0.0,0.47077078
0.0,0.46086213
0.0,0.5426134
1.0,0.5229139
0.0,0.49183813
1.0,0.1448422
0.0,0.3611907
1.0,0.51147705
0.0,0.54524904
0.0,0.30660138
1.0,0.48703715
1.0,0.5713083
0.0,0.51435727
0.0,0.36202613
0.0,0.4147853
0.0,0.40313667
1.0,0.572543
1.0,0.57291245
1.0,0.5208388
0.0,0.40732566
0.0,0.43628415
0.0,0.38702518
0.0,0.3707466
1.0,0.44547847
1.0,0.56552297
0.0,0.4202614
0.0,0.4006234
1.0,0.47190967
0.0,0.3777093
0.0,0.51183647
0.0,0.46819004
1.0,0.5031044
0.0,0.46805358
1.0,0.5275982
1.0,0.45046398
1.0,0.57208383
1.0,0.5633591
0.0,0.287481
1.0,0.56667733
0.0,0.41470656
1.0,0.57587504
0.0,0.38045645
0.0,0.44358897
0.0,0.26084492
0.0,0.5394483
0.0,0.54260707
0.0,0.49778897
1.0,0.47574598
0.0,0.42829734
1.0,0.5564152
1.0,0.5392642
0.0,0.34623155
1.0,0.5133092
1.0,0.47142532
0.0,0.5354132
0.0,0.47152483
1.0,0.5631114
1.0,0.48789382
0.0,0.5274078
0.0,0.01851264
1.0,0.54009247
0.0,0.45001563
1.0,0.60139805
1.0,0.43837065
1.0,0.19655794
0.0,0.3016168
1.0,0.39833754
0.0,0.45861292
0.0,0.5071489
1.0,0.5161581
1.0,0.5310681
0.0,0.3017635
0.0,0.15260792
0.0,0.30840775
1.0,0.545741
1.0,0.5443981
0.0,0.36293054
0.0,0.42553553
1.0,0.47145537
0.0,0.43247497
1.0,0.2432013
0.0,0.42088798
1.0,0.5443981
1.0,0.55468774
1.0,0.58685684
0.0,0.45777136
1.0,0.5449018
1.0,0.5779785
0.0,0.3489777
0.0,0.3802195
0.0,0.5294557
1.0,0.52915156
1.0,0.3625627
1.0,0.5756261
0.0,0.4226767
1.0,0.47299936
0.0,0.318557
0.0,0.5208156
1.0,0.54535353
1.0,0.49227804
1.0,0.42383686
0.0,0.5480876
1.0,0.5632701
1.0,0.55340004
1.0,0.5598374
1.0,0.57412934
0.0,0.5874917
1.0,0.5580763
1.0,0.5183871
1.0,0.5149971
0.0,0.45405626
0.0,0.391524
