y_true,y_pred_proba
1.0,0.5939981
0.0,0.022201957
1.0,0.5481908
1.0,0.969875
0.0,0.027167777
0.0,0.00050018064
0.0,0.18423699
0.0,0.022288172
1.0,0.7121772
0.0,2.5377067e-05
0.0,0.013592183
1.0,0.9649205
1.0,0.86006
0.0,0.18301426
1.0,0.8140325
1.0,0.9459282
0.0,0.0045870263
1.0,0.9462272
0.0,0.020609878
1.0,0.9379854
0.0,0.013679553
1.0,0.9413739
1.0,0.8450347
1.0,0.97394705
1.0,0.4830958
0.0,0.011072368
0.0,0.22791962
0.0,0.18799323
0.0,0.007907142
0.0,0.0008717979
0.0,0.00028341173
0.0,0.040187698
0.0,0.0004498254
1.0,0.92880005
1.0,0.9935481
1.0,0.47107401
0.0,0.00065802416
0.0,0.048849713
1.0,0.96893823
0.0,0.010317256
1.0,0.9458537
0.0,0.00025451966
0.0,0.0030644624
1.0,0.0876938
1.0,0.98118156
0.0,0.009487581
1.0,0.92654717
1.0,0.93505996
1.0,0.9436048
0.0,0.08965086
0.0,0.009920716
0.0,0.008017339
1.0,0.95150286
0.0,0.014328866
0.0,0.006177965
1.0,0.7144967
1.0,0.9559988
0.0,0.20961964
1.0,0.9303361
0.0,0.21564002
1.0,0.07904084
1.0,0.4241784
0.0,0.021386346
1.0,0.92800105
1.0,0.9378052
1.0,0.95757324
1.0,0.90443474
1.0,0.85426056
0.0,0.019778848
1.0,0.58632404
0.0,0.033208035
1.0,0.9440274
1.0,0.98451483
0.0,0.02351227
0.0,0.0009849586
1.0,0.45152926
1.0,0.55692637
0.0,0.0015670307
1.0,0.9652753
1.0,0.98286426
0.0,0.11677161
0.0,7.888586e-05
1.0,0.96325886
1.0,0.82496446
0.0,0.23010446
0.0,0.008445092
0.0,0.007035434
1.0,0.8957805
1.0,0.9157444
1.0,0.9629817
0.0,0.4965277
0.0,0.37059963
1.0,0.7618761
0.0,0.7258095
0.0,0.029326916
1.0,0.7575446
1.0,0.88390803
0.0,0.008212924
1.0,0.9806008
0.0,0.0010431927
0.0,0.0010772974
0.0,0.7020643
1.0,0.9173902
0.0,0.13251945
1.0,0.83979404
1.0,0.95788664
0.0,0.002937371
0.0,0.02559469
0.0,0.037541624
0.0,0.2610645
1.0,0.7864424
0.0,0.023150278
0.0,0.16498828
1.0,0.97594756
1.0,0.48439214
0.0,0.0047881883
1.0,0.016535154
0.0,0.19161522
0.0,0.017082458
0.0,0.066431396
0.0,0.0036014137
1.0,0.31060207
0.0,0.03607401
0.0,0.013881026
0.0,0.34305754
0.0,0.10738212
1.0,0.3859484
1.0,0.8874437
1.0,0.38463965
1.0,0.4057501
0.0,0.3079908
0.0,0.02604878
1.0,0.87409157
0.0,0.93844867
0.0,0.0030972473
1.0,0.9907132
1.0,0.6957738
0.0,0.038058527
0.0,0.07584698
0.0,0.37360665
0.0,0.019484973
0.0,0.044194054
0.0,0.027256737
0.0,0.016857607
0.0,0.0021646547
1.0,0.8949155
1.0,0.9429806
0.0,0.056090567
1.0,0.97207415
0.0,0.30924115
1.0,0.7824174
0.0,0.043150257
1.0,0.97767913
0.0,0.18799904
0.0,0.0008522125
0.0,0.36711589
1.0,0.88384134
0.0,0.0937154
1.0,0.85192657
0.0,0.00046767204
0.0,0.0016577502
0.0,0.045828685
1.0,0.83460027
1.0,0.9783524
0.0,7.608006e-05
0.0,0.0025931897
1.0,0.95892227
1.0,0.8164427
0.0,0.2660346
0.0,0.008841034
1.0,0.4954461
0.0,0.0024636376
0.0,0.0005055146
1.0,0.41332203
1.0,0.7415342
